"fw","t1","t2","S","n_species","n_basal","n_nut","masses","biomasses","period"
1,15,20,1,60,20,2,"1.3729;1.9279;2.8699;3.917;9.2477;12.149;13.914;15.2672;18.3345;39.0331;45.3401;47.1934;52.7758;58.2701;83.9546;210.9379;296.3787;340.94;819.967;856.8557;146.5071;201.9966;235.2481;267.0526;290.5304;296.99;301.142;311.0385;534.9409;611.511;763.3641;857.9141;873.7036;885.8517;1074.3547;1159.6561;1256.9637;1303.763;1369.4579;1415.9857;2013.6846;3057.9023;4221.0211;4651.3632;5321.4967;6680.0072;10479.8879;12744.8788;13941.6606;14296.8433;17762.949;18033.5056;19579.482;20102.3383;23056.1049;27970.1617;42992.3236;43005.7942;72437.1879;87620.7223","2.483;2.8411;2.4551;2.8605;2.6761;2.7276;2.9783;2.1953;2.1467;2.4981;2.7687;2.2901;2.7051;2.0833;2.0944;2.5862;2.4013;2.651;2.6233;2.9248;2.6578;2.8841;2.84;2.9422;2.8039;2.6583;2.5781;2.6552;2.798;2.569;2.8014;2.2145;2.9747;2.1737;2.0158;2.8895;2.8343;2.6406;2.8739;2.5947;2.2997;2.8401;2.5988;2.7103;2.3338;2.5822;2.4276;2.8683;2.4589;2.426;2.2631;2.7902;2.1019;2.0835;2.3505;2.6996;2.6973;2.0665;2.4294;2.25;2.5017;2.5298","N;C;C;C;D;D;C;C;D;N;C;D;D;N;N;C;N;D;C;N;N;N;D;C;C;N;D;C;C;D;D;N;N;N;C;D;N;N;D;N"
2,15,20,1,60,20,2,"1.0199;1.4185;2.3092;2.8229;2.9117;6.5453;7.447;13.1605;16.2386;36.4356;38.6606;42.4509;78.6394;88.8653;106.948;122.6895;226.4335;304.6691;640.5918;780.4283;125.9213;169.3828;177.9705;183.3436;195.2413;216.6583;226.7578;283.9395;308.6142;326.996;339.701;608.96;788.111;794.0897;883.6339;1083.499;1098.1212;1736.0646;1769.4017;1962.2826;2333.4998;2472.0024;2803.431;4633.675;5743.3279;6371.9078;8116.0311;9531.2897;9572.2206;17529.1755;18404.0415;20764.1801;21588.7255;25821.7894;45423.6348;50393.2327;57442.22;77068.3435;89238.0856;94524.3277","2.6268;2.2599;2.2311;2.0145;2.874;2.8944;2.3904;2.8159;2.8547;2.1075;2.6434;2.5858;2.8016;2.6615;2.1033;2.5791;2.7013;2.1969;2.862;2.1849;2.2421;2.4243;2.9223;2.2378;2.9249;2.173;2.0976;2.7973;2.1848;2.7634;2.0297;2.805;2.511;2.2651;2.1821;2.7377;2.0497;2.9164;2.5996;2.8306;2.7397;2.5644;2.3643;2.9902;2.3032;2.7065;2.6547;2.7819;2.8298;2.6312;2.6026;2.0221;2.0202;2.2182;2.6133;2.6478;2.6413;2.9368;2.0458;2.456;2.8938;2.0588","N;N;C;D;N;N;N;D;N;D;D;N;N;D;D;C;N;C;C;N;N;N;C;D;D;D;D;N;N;N;C;N;D;N;N;C;N;C;N;N"
3,15,20,1,60,20,2,"1.1141;1.9727;2.0403;3.2073;5.607;6.1412;8.1473;11.7604;14.4129;22.6333;30.8287;39.3847;71.8;174.5111;176.7143;267.9359;441.9216;475.1449;629.4206;816.1178;100.9796;136.7057;167.7296;176.8761;184.0138;292.4921;326.0781;357.5106;377.8808;389.6954;440.8764;540.7266;675.9913;1077.9802;2231.8342;2568.2913;2751.2458;3396.4598;3417.5365;3809.3975;4072.4693;4953.9147;6158.8141;6756.6819;7189.7242;9079.347;9978.9513;11207.7867;12228.7533;12412.202;12952.0815;23436.9211;24139.5637;25013.5661;27382.804;51209.2047;54363.8144;72834.2572;73506.5052;82872.2817","2.549;2.8452;2.1512;2.9087;2.5357;2.9496;2.9069;2.2;2.3792;2.672;2.9304;2.6639;2.3193;2.097;2.1933;2.7227;2.8412;2.3795;2.1374;2.1269;2.8033;2.0129;2.2653;2.9446;2.663;2.738;2.3461;2.1053;2.3484;2.2757;2.6494;2.3506;2.9518;2.1254;2.1296;2.6963;2.4479;2.4138;2.3384;2.2545;2.7429;2.4082;2.0497;2.7853;2.2494;2.1261;2.0959;2.4783;2.3426;2.8424;2.9129;2.45;2.2542;2.9316;2.1802;2.7117;2.551;2.4015;2.4108;2.4605;2.7486;2.3774","D;C;C;N;D;D;N;C;D;C;D;C;D;D;N;C;C;N;C;D;D;N;C;C;C;N;C;D;C;C;N;D;N;D;C;D;D;N;N;D"
4,15,20,1,60,20,2,"1.0397;1.3799;1.9064;2.7366;6.397;9.4829;9.6444;21.0716;24.8936;26.7053;31.1029;34.2275;42.4459;45.08;67.7;90.8916;101.6794;175.2306;203.4421;755.5992;101.1491;108.0542;114.9227;151.4124;260.3851;340.6242;368.7423;371.4379;395.0762;444.1744;599.9956;739.9778;766.4193;802.6042;888.8782;1091.1293;1658.0879;1883.8701;1941.6055;2083.4692;2102.3641;2163.1698;2990.4454;3708.0047;4137.0129;11741.4995;12269.423;14053.0571;16374.5554;18368.1543;26955.104;30425.1163;33860.197;41387.4714;42737.5702;44204.5338;55113.0312;71184.1317;71425.3747;71874.5726","2.6518;2.7601;2.026;2.4364;2.2617;2.4509;2.3792;2.6265;2.7672;2.0622;2.1699;2.2862;2.8046;2.827;2.0693;2.1744;2.1761;2.5745;2.1547;2.0416;2.4162;2.1769;2.9508;2.9174;2.7659;2.2991;2.4082;2.7936;2.7206;2.0472;2.9921;2.3961;2.5083;2.0467;2.6321;2.0937;2.5631;2.914;2.8227;2.6389;2.7994;2.2707;2.137;2.6875;2.4204;2.5713;2.1409;2.6076;2.6025;2.6865;2.2149;2.438;2.0226;2.2581;2.7232;2.8774;2.3412;2.2764;2.0722;2.5693;2.5597;2.7314","N;C;D;D;C;C;D;D;D;D;D;N;D;D;N;D;N;N;C;D;C;D;N;D;C;C;C;D;C;C;D;N;C;C;N;N;C;D;C;D"
5,15,20,1,60,20,2,"1.4996;1.5992;2.0488;2.1645;2.3963;13.8273;18.183;18.7984;22.3759;24.659;25.3019;28.255;58.2327;58.5477;59.702;138.8691;168.1019;478.065;668.6909;915.9236;100.3916;138.9558;158.7251;222.2469;240.5849;273.4133;332.7699;381.5125;444.9325;490.4661;577.7762;1306.7142;1785.5781;2064.9381;2143.356;2904.2977;3059.2869;3467.1095;4576.5375;5755.0163;5839.1177;7966.4427;7975.593;8384.5298;9685.2892;10954.0823;11304.4894;11723.5411;11817.027;15962.9824;22256.1209;23718.6944;24961.6326;25319.3731;29263.8097;30368.1482;35815.5125;63361.7182;91243.1974;94510.5495","2.7408;2.0199;2.7059;2.4251;2.7588;2.9694;2.1275;2.9505;2.5025;2.1854;2.1038;2.4186;2.1054;2.0049;2.3304;2.9893;2.5674;2.4991;2.2657;2.5269;2.9485;2.9281;2.061;2.3832;2.4263;2.5513;2.8475;2.8914;2.4621;2.7264;2.495;2.525;2.4881;2.0858;2.9953;2.0711;2.9093;2.061;2.0649;2.0158;2.8835;2.1608;2.867;2.1299;2.4734;2.9134;2.2103;2.3419;2.2216;2.3469;2.4017;2.4715;2.5347;2.7651;2.0856;2.6348;2.0823;2.4932;2.6199;2.2083;2.5617;2.2185","C;N;C;C;N;D;D;C;D;D;D;D;N;C;D;C;N;C;D;N;D;C;C;N;C;N;D;C;C;D;D;N;N;C;N;C;C;C;C;N"
6,15,20,1,60,20,2,"1.2013;1.346;2.5803;2.933;3.2545;3.7962;4.1314;13.833;15.4047;24.8992;52.6658;58.0491;72.2333;78.7377;79.7201;80.8058;81.5558;160.8178;177.9559;240.1397;110.268;113.5546;128.3353;144.9764;216.4008;288.6379;552.4693;646.2081;659.1735;671.1531;897.5904;904.9224;913.5406;953.3462;1259.0596;1603.1005;2044.1236;2098.5058;2604.6606;2617.6846;2710.6291;4155.3258;5254.8774;5692.0023;10300.3383;11080.3477;11952.77;12309.792;15067.7957;16988.8797;19349.3786;19906.9616;20355.0896;22490.6579;24015.4313;31679.1806;33408.828;42870.5733;55947.3529;84451.9708","2.5394;2.2527;2.7431;2.8471;2.3009;2.6527;2.467;2.9553;2.6117;2.6072;2.118;2.1106;2.8009;2.6993;2.3464;2.7666;2.4319;2.7563;2.9318;2.0456;2.6238;2.6298;2.3424;2.5766;2.5587;2.8972;2.3003;2.3533;2.6229;2.1595;2.6293;2.0264;2.3366;2.4002;2.608;2.9301;2.3613;2.1646;2.858;2.9408;2.2722;2.0906;2.9962;2.7321;2.9774;2.9759;2.0223;2.3811;2.2842;2.7687;2.61;2.0163;2.441;2.4887;2.9768;2.2237;2.1381;2.9288;2.8045;2.3917;2.4186;2.2979","D;D;D;D;N;N;C;D;C;N;D;D;N;C;N;D;N;D;N;D;D;N;N;N;C;C;N;N;N;N;D;C;C;C;C;D;C;N;C;D"
7,15,20,1,60,20,2,"1.0557;1.5204;1.918;3.2203;4.5421;5.712;8.1946;9.9157;13.2744;15.5927;18.9578;21.2138;53.131;63.0316;72.0619;129.8274;182.5955;202.6483;217.4682;240.0739;107.9116;179.1716;183.1134;202.4354;238.8982;292.3454;311.4665;378.6803;485.5664;689.4967;790.4793;799.7436;979.4005;1148.3616;1467.58;1488.8816;1519.7179;1633.7905;2224.4703;2692.5211;2761.8633;3557.3435;3580.96;3654.747;7922.3474;8325.7831;8503.6079;9026.3709;9223.1761;9998.0138;10354.3787;10586.7757;13913.5831;17632.5247;28883.3399;37902.1046;45296.7598;46634.5124;94123.6692;98164.9458","2.025;2.8398;2.5788;2.5593;2.513;2.9208;2.5293;2.9274;2.6249;2.9286;2.4041;2.1311;2.8053;2.4878;2.5638;2.7825;2.2097;2.0894;2.3959;2.4566;2.0063;2.2664;2.7735;2.7523;2.1338;2.3383;2.1463;2.4695;2.5906;2.9577;2.4133;2.2881;2.8297;2.592;2.1052;2.4953;2.8881;2.8429;2.8345;2.0361;2.5102;2.4611;2.1477;2.5723;2.9043;2.521;2.625;2.0732;2.2651;2.3982;2.4021;2.151;2.2273;2.1952;2.5621;2.3629;2.1967;2.7157;2.7886;2.9274;2.6329;2.1184","N;D;N;C;N;C;C;D;D;C;D;D;C;C;C;C;C;C;C;N;N;D;D;C;N;D;N;D;D;C;C;D;C;N;C;C;D;N;C;N"
8,15,20,1,60,20,2,"1.5542;1.9997;2.1673;5.8581;7.5927;7.7651;9.3618;10.5633;14.2034;14.7755;15.7687;29.072;31.4112;87.7157;93.6958;100.0738;100.8204;529.963;699.0561;775.3995;108.0033;138.4408;139.7784;159.2104;160.593;172.1463;175.7591;186.8149;194.5828;244.488;266.5013;344.1704;579.5899;636.6526;671.4421;696.7829;801.5917;1149.8807;1497.5916;1846.9617;2128.0766;2209.7247;2598.2303;2731.4147;3562.9309;3570.7281;4786.9037;6515.5512;9101.7966;10391.8832;12440.9652;18812.136;20189.3664;25323.0697;40955.6166;49781.7086;55490.6237;58088.8831;62205.222;76545.0357","2.5536;2.281;2.3612;2.2982;2.3719;2.1422;2.2023;2.939;2.9753;2.1039;2.9427;2.075;2.3588;2.9138;2.3341;2.6698;2.2109;2.9351;2.5309;2.6779;2.9593;2.9539;2.3762;2.2452;2.9368;2.8447;2.7338;2.0433;2.5345;2.4328;2.0468;2.7849;2.647;2.5549;2.3348;2.9943;2.1502;2.4442;2.3217;2.535;2.6147;2.3698;2.0619;2.31;2.3721;2.0468;2.164;2.7659;2.7779;2.7945;2.7749;2.2958;2.9112;2.5775;2.2056;2.0468;2.7137;2.5198;2.4892;2.5054;2.6842;2.8003","N;D;C;C;C;D;N;D;D;D;N;C;D;N;D;C;N;N;D;N;N;N;N;C;N;D;D;D;D;C;C;N;C;C;N;N;N;C;N;N"
9,15,20,1,60,20,2,"1.467;2.7076;2.7522;4.1496;8.049;8.6082;11.3443;19.213;29.0549;29.916;31.3208;75.387;82.5755;93.6905;106.9153;257.6771;345.2813;402.0037;512.0278;917.4332;113.8269;120.3962;121.9844;146.2574;169.0378;221.7044;225.3111;244.8257;321.6976;354.4257;504.3163;543.3935;1172.7927;1296.5751;1316.0893;1320.7617;1589.9206;2082.4513;2898.1851;2987.325;3286.3648;3286.4179;3387.3917;4143.6304;5331.3222;5818.6622;8037.3507;8427.4025;9152.2605;9326.6059;9755.7955;9901.5628;10064.9012;10664.1105;24203.2456;36929.7896;51297.4533;53278.2504;60176.4518;79623.1778","2.2789;2.7719;2.8638;2.9321;2.3293;2.7899;2.9983;2.205;2.8178;2.9342;2.8315;2.8462;2.9305;2.7322;2.7677;2.0203;2.7864;2.2118;2.7808;2.4917;2.179;2.2822;2.7102;2.1283;2.8047;2.8123;2.9601;2.5161;2.5027;2.0206;2.7046;2.6518;2.0793;2.7026;2.2229;2.7374;2.7389;2.4452;2.8637;2.5758;2.272;2.3772;2.7024;2.6354;2.7878;2.0228;2.546;2.1492;2.7128;2.7098;2.7203;2.065;2.2083;2.6485;2.3764;2.1186;2.6307;2.3824;2.2917;2.2307;2.4516;2.1487","C;C;N;C;C;N;N;D;N;N;C;N;N;N;D;D;C;N;C;N;N;D;N;C;N;D;D;C;D;C;N;C;N;D;N;N;N;D;D;D"
10,15,20,1,60,20,2,"1.7544;2.9379;4.7047;5.0594;6.5283;8.0778;9.2344;13.5328;23.8826;31.6559;36.197;41.5069;47.3354;86.3873;99.4777;322.4774;403.5386;600.0906;677.7879;899.9284;110.164;113.5168;144.0457;197.2509;214.5875;223.8975;227.3659;230.4354;254.0982;367.2223;428.85;584.8636;598.8968;684.8706;699.0566;699.5319;1344.954;1437.3986;1765.0602;2126.762;2515.8262;5417.8528;7087.8192;8055.1932;8102.4512;9760.3742;11578.0769;12816.213;15258.2558;16432.4061;22615.9538;28112.6752;32269.65;33095.7179;37434.838;53913.3902;55789.1654;74770.1067;86357.7713;97108.5802","2.259;2.7691;2.9976;2.4711;2.393;2.3886;2.2699;2.519;2.9785;2.6981;2.1184;2.8809;2.2269;2.3851;2.4683;2.2143;2.8403;2.4502;2.8806;2.6699;2.9292;2.848;2.5487;2.4004;2.3083;2.5091;2.9062;2.2218;2.1015;2.6846;2.7839;2.0762;2.5551;2.2762;2.0808;2.138;2.2055;2.9803;2.4566;2.0655;2.6759;2.3305;2.4731;2.8453;2.4196;2.0785;2.5628;2.8056;2.4014;2.2188;2.3803;2.0968;2.3264;2.3442;2.1576;2.6026;2.9383;2.4286;2.3482;2.2653;2.5489;2.0597","C;D;D;N;N;D;D;C;C;D;C;D;N;C;C;N;N;N;D;D;D;C;D;N;C;D;C;N;C;C;C;C;N;C;D;C;D;C;N;D"
