"tot_ext","ext_basals","ext_night","ext_cresp","ext_day","x","light","temperature","light.effect","S","replicate"
45,17,8,8,12,0,0,20,"N",1,1
45,17,8,8,12,0.05,0.05,20,"N",1,1
45,17,8,8,12,0.1,0.1,20,"N",1,1
45,17,8,8,12,0.15,0.15,20,"N",1,1
45,17,8,8,12,0.2,0.2,20,"N",1,1
46,17,8,9,12,0.25,0.25,20,"N",1,1
46,17,8,9,12,0.3,0.3,20,"N",1,1
42,17,7,6,12,0.35,0.35,20,"N",1,1
40,16,8,5,11,0.4,0.4,20,"N",1,1
40,16,8,5,11,0.45,0.45,20,"N",1,1
40,16,8,5,11,0.5,0.5,20,"N",1,1
52,16,12,9,15,0,0,25,"N",1,1
52,16,12,9,15,0.05,0.05,25,"N",1,1
52,16,12,9,15,0.1,0.1,25,"N",1,1
52,16,12,9,15,0.15,0.15,25,"N",1,1
52,16,12,9,15,0.2,0.2,25,"N",1,1
52,16,12,9,15,0.25,0.25,25,"N",1,1
52,16,12,9,15,0.3,0.3,25,"N",1,1
52,16,12,9,15,0.35,0.35,25,"N",1,1
52,16,12,9,15,0.4,0.4,25,"N",1,1
53,16,12,9,16,0.45,0.45,25,"N",1,1
53,16,12,9,16,0.5,0.5,25,"N",1,1
6,6,0,0,0,0,0,20,"N",2,1
6,6,0,0,0,0.05,0.05,20,"N",2,1
6,6,0,0,0,0.1,0.1,20,"N",2,1
6,6,0,0,0,0.15,0.15,20,"N",2,1
6,6,0,0,0,0.2,0.2,20,"N",2,1
6,6,0,0,0,0.25,0.25,20,"N",2,1
6,6,0,0,0,0.3,0.3,20,"N",2,1
5,5,0,0,0,0.35,0.35,20,"N",2,1
5,5,0,0,0,0.4,0.4,20,"N",2,1
5,5,0,0,0,0.45,0.45,20,"N",2,1
5,5,0,0,0,0.5,0.5,20,"N",2,1
59,19,14,10,16,0,0,25,"N",2,1
59,19,14,10,16,0.05,0.05,25,"N",2,1
59,19,14,10,16,0.1,0.1,25,"N",2,1
59,19,14,10,16,0.15,0.15,25,"N",2,1
59,19,14,10,16,0.2,0.2,25,"N",2,1
59,19,14,10,16,0.25,0.25,25,"N",2,1
59,19,14,10,16,0.3,0.3,25,"N",2,1
59,19,14,10,16,0.35,0.35,25,"N",2,1
59,19,14,10,16,0.4,0.4,25,"N",2,1
59,19,14,10,16,0.45,0.45,25,"N",2,1
59,19,14,10,16,0.5,0.5,25,"N",2,1
7,7,0,0,0,0,0,20,"N",5,1
7,7,0,0,0,0.05,0.05,20,"N",5,1
7,7,0,0,0,0.1,0.1,20,"N",5,1
6,6,0,0,0,0.15,0.15,20,"N",5,1
6,6,0,0,0,0.2,0.2,20,"N",5,1
6,6,0,0,0,0.25,0.25,20,"N",5,1
5,5,0,0,0,0.3,0.3,20,"N",5,1
5,5,0,0,0,0.35,0.35,20,"N",5,1
4,4,0,0,0,0.4,0.4,20,"N",5,1
3,3,0,0,0,0.45,0.45,20,"N",5,1
3,3,0,0,0,0.5,0.5,20,"N",5,1
52,18,14,7,13,0,0,25,"N",5,1
52,18,14,7,13,0.05,0.05,25,"N",5,1
50,17,13,7,13,0.1,0.1,25,"N",5,1
49,17,12,7,13,0.15,0.15,25,"N",5,1
49,17,12,7,13,0.2,0.2,25,"N",5,1
49,16,12,8,13,0.25,0.25,25,"N",5,1
49,16,12,8,13,0.3,0.3,25,"N",5,1
49,16,12,8,13,0.35,0.35,25,"N",5,1
49,16,13,7,13,0.4,0.4,25,"N",5,1
53,18,14,8,13,0.45,0.45,25,"N",5,1
53,18,14,8,13,0.5,0.5,25,"N",5,1
32,15,7,5,5,0,0,20,"N",20,1
32,15,6,6,5,0.05,0.05,20,"N",20,1
32,15,6,6,5,0.1,0.1,20,"N",20,1
32,15,6,6,5,0.15,0.15,20,"N",20,1
32,15,6,6,5,0.2,0.2,20,"N",20,1
31,15,5,6,5,0.25,0.25,20,"N",20,1
29,15,5,5,4,0.3,0.3,20,"N",20,1
30,15,5,6,4,0.35,0.35,20,"N",20,1
30,15,5,6,4,0.4,0.4,20,"N",20,1
29,15,4,6,4,0.45,0.45,20,"N",20,1
28,15,3,6,4,0.5,0.5,20,"N",20,1
15,15,0,0,0,0,0,25,"N",20,1
15,15,0,0,0,0.05,0.05,25,"N",20,1
15,15,0,0,0,0.1,0.1,25,"N",20,1
15,15,0,0,0,0.15,0.15,25,"N",20,1
15,15,0,0,0,0.2,0.2,25,"N",20,1
15,15,0,0,0,0.25,0.25,25,"N",20,1
15,15,0,0,0,0.3,0.3,25,"N",20,1
15,15,0,0,0,0.35,0.35,25,"N",20,1
14,14,0,0,0,0.4,0.4,25,"N",20,1
13,13,0,0,0,0.45,0.45,25,"N",20,1
11,11,0,0,0,0.5,0.5,25,"N",20,1
27,13,4,4,6,0,0,20,"C",1,1
27,13,4,4,6,0.05,0.05,20,"C",1,1
27,13,4,4,6,0.1,0.1,20,"C",1,1
27,13,4,4,6,0.15,0.15,20,"C",1,1
27,13,4,4,6,0.2,0.2,20,"C",1,1
27,13,4,4,6,0.25,0.25,20,"C",1,1
27,13,4,4,6,0.3,0.3,20,"C",1,1
27,13,4,4,6,0.35,0.35,20,"C",1,1
27,13,4,4,6,0.4,0.4,20,"C",1,1
29,13,5,5,6,0.45,0.45,20,"C",1,1
30,13,6,5,6,0.5,0.5,20,"C",1,1
59,19,14,10,16,0,0,25,"C",1,1
59,19,14,10,16,0.05,0.05,25,"C",1,1
59,19,14,10,16,0.1,0.1,25,"C",1,1
59,19,14,10,16,0.15,0.15,25,"C",1,1
59,19,14,10,16,0.2,0.2,25,"C",1,1
59,19,14,10,16,0.25,0.25,25,"C",1,1
59,19,14,10,16,0.3,0.3,25,"C",1,1
59,19,14,10,16,0.35,0.35,25,"C",1,1
59,19,14,10,16,0.4,0.4,25,"C",1,1
59,19,14,10,16,0.45,0.45,25,"C",1,1
59,19,14,10,16,0.5,0.5,25,"C",1,1
16,12,3,1,0,0,0,20,"C",2,1
16,12,3,1,0,0.05,0.05,20,"C",2,1
17,12,3,2,0,0.1,0.1,20,"C",2,1
17,12,3,2,0,0.15,0.15,20,"C",2,1
17,12,3,2,0,0.2,0.2,20,"C",2,1
17,12,3,2,0,0.25,0.25,20,"C",2,1
16,12,2,2,0,0.3,0.3,20,"C",2,1
16,12,2,2,0,0.35,0.35,20,"C",2,1
16,12,2,2,0,0.4,0.4,20,"C",2,1
17,12,1,4,0,0.45,0.45,20,"C",2,1
17,12,1,4,0,0.5,0.5,20,"C",2,1
50,16,13,8,13,0,0,25,"C",2,1
50,16,13,8,13,0.05,0.05,25,"C",2,1
50,16,13,8,13,0.1,0.1,25,"C",2,1
50,16,13,8,13,0.15,0.15,25,"C",2,1
50,16,13,8,13,0.2,0.2,25,"C",2,1
50,16,13,8,13,0.25,0.25,25,"C",2,1
50,16,13,8,13,0.3,0.3,25,"C",2,1
50,16,13,8,13,0.35,0.35,25,"C",2,1
50,16,13,8,13,0.4,0.4,25,"C",2,1
50,16,13,8,13,0.45,0.45,25,"C",2,1
53,16,14,10,13,0.5,0.5,25,"C",2,1
3,3,0,0,0,0,0,20,"C",5,1
3,3,0,0,0,0.05,0.05,20,"C",5,1
3,3,0,0,0,0.1,0.1,20,"C",5,1
3,3,0,0,0,0.15,0.15,20,"C",5,1
3,3,0,0,0,0.2,0.2,20,"C",5,1
3,3,0,0,0,0.25,0.25,20,"C",5,1
2,2,0,0,0,0.3,0.3,20,"C",5,1
2,2,0,0,0,0.35,0.35,20,"C",5,1
2,2,0,0,0,0.4,0.4,20,"C",5,1
2,2,0,0,0,0.45,0.45,20,"C",5,1
2,2,0,0,0,0.5,0.5,20,"C",5,1
48,15,10,9,14,0,0,25,"C",5,1
48,15,10,9,14,0.05,0.05,25,"C",5,1
49,15,11,9,14,0.1,0.1,25,"C",5,1
49,15,11,9,14,0.15,0.15,25,"C",5,1
49,15,11,9,14,0.2,0.2,25,"C",5,1
49,15,11,9,14,0.25,0.25,25,"C",5,1
48,15,11,9,13,0.3,0.3,25,"C",5,1
48,15,11,9,13,0.35,0.35,25,"C",5,1
48,15,11,9,13,0.4,0.4,25,"C",5,1
48,15,11,9,13,0.45,0.45,25,"C",5,1
48,15,11,9,13,0.5,0.5,25,"C",5,1
20,18,1,1,0,0,0,20,"C",20,1
20,18,1,1,0,0.05,0.05,20,"C",20,1
20,18,1,1,0,0.1,0.1,20,"C",20,1
20,18,1,1,0,0.15,0.15,20,"C",20,1
20,18,1,1,0,0.2,0.2,20,"C",20,1
20,18,1,1,0,0.25,0.25,20,"C",20,1
20,18,1,1,0,0.3,0.3,20,"C",20,1
20,18,1,1,0,0.35,0.35,20,"C",20,1
20,18,1,1,0,0.4,0.4,20,"C",20,1
20,18,1,1,0,0.45,0.45,20,"C",20,1
20,18,1,1,0,0.5,0.5,20,"C",20,1
28,15,5,2,6,0,0,25,"C",20,1
28,15,5,2,6,0.05,0.05,25,"C",20,1
28,15,5,2,6,0.1,0.1,25,"C",20,1
28,15,5,2,6,0.15,0.15,25,"C",20,1
30,15,7,2,6,0.2,0.2,25,"C",20,1
30,15,7,2,6,0.25,0.25,25,"C",20,1
30,15,7,2,6,0.3,0.3,25,"C",20,1
30,15,7,2,6,0.35,0.35,25,"C",20,1
30,15,7,2,6,0.4,0.4,25,"C",20,1
30,15,7,2,6,0.45,0.45,25,"C",20,1
30,15,7,2,6,0.5,0.5,25,"C",20,1
26,11,5,4,6,0,0,20,"C.N",1,1
25,11,4,4,6,0.05,0.05,20,"C.N",1,1
25,11,4,4,6,0.1,0.1,20,"C.N",1,1
24,10,4,4,6,0.15,0.15,20,"C.N",1,1
24,10,4,4,6,0.2,0.2,20,"C.N",1,1
24,10,4,4,6,0.25,0.25,20,"C.N",1,1
23,9,4,4,6,0.3,0.3,20,"C.N",1,1
22,8,4,4,6,0.35,0.35,20,"C.N",1,1
22,8,4,4,6,0.4,0.4,20,"C.N",1,1
23,8,5,4,6,0.45,0.45,20,"C.N",1,1
24,8,5,5,6,0.5,0.5,20,"C.N",1,1
58,18,14,10,16,0,0,25,"C.N",1,1
58,18,14,10,16,0.05,0.05,25,"C.N",1,1
58,18,14,10,16,0.1,0.1,25,"C.N",1,1
58,18,14,10,16,0.15,0.15,25,"C.N",1,1
58,18,14,10,16,0.2,0.2,25,"C.N",1,1
58,18,14,10,16,0.25,0.25,25,"C.N",1,1
58,18,14,10,16,0.3,0.3,25,"C.N",1,1
58,18,14,10,16,0.35,0.35,25,"C.N",1,1
58,18,14,10,16,0.4,0.4,25,"C.N",1,1
58,18,14,10,16,0.45,0.45,25,"C.N",1,1
58,18,14,10,16,0.5,0.5,25,"C.N",1,1
37,16,9,5,7,0,0,20,"C.N",2,1
37,16,9,5,7,0.05,0.05,20,"C.N",2,1
37,16,9,5,7,0.1,0.1,20,"C.N",2,1
37,16,9,5,7,0.15,0.15,20,"C.N",2,1
38,16,9,6,7,0.2,0.2,20,"C.N",2,1
38,16,9,6,7,0.25,0.25,20,"C.N",2,1
39,16,9,7,7,0.3,0.3,20,"C.N",2,1
38,16,9,6,7,0.35,0.35,20,"C.N",2,1
38,16,9,6,7,0.4,0.4,20,"C.N",2,1
39,16,9,7,7,0.45,0.45,20,"C.N",2,1
39,16,9,7,7,0.5,0.5,20,"C.N",2,1
53,15,13,10,15,0,0,25,"C.N",2,1
53,15,13,10,15,0.05,0.05,25,"C.N",2,1
53,15,13,10,15,0.1,0.1,25,"C.N",2,1
53,15,13,10,15,0.15,0.15,25,"C.N",2,1
53,15,13,10,15,0.2,0.2,25,"C.N",2,1
53,15,13,10,15,0.25,0.25,25,"C.N",2,1
53,15,13,10,15,0.3,0.3,25,"C.N",2,1
53,15,13,10,15,0.35,0.35,25,"C.N",2,1
53,15,13,10,15,0.4,0.4,25,"C.N",2,1
53,15,13,10,15,0.45,0.45,25,"C.N",2,1
53,15,13,10,15,0.5,0.5,25,"C.N",2,1
9,9,0,0,0,0,0,20,"C.N",5,1
9,9,0,0,0,0.05,0.05,20,"C.N",5,1
9,9,0,0,0,0.1,0.1,20,"C.N",5,1
9,9,0,0,0,0.15,0.15,20,"C.N",5,1
9,9,0,0,0,0.2,0.2,20,"C.N",5,1
8,8,0,0,0,0.25,0.25,20,"C.N",5,1
7,7,0,0,0,0.3,0.3,20,"C.N",5,1
6,6,0,0,0,0.35,0.35,20,"C.N",5,1
6,6,0,0,0,0.4,0.4,20,"C.N",5,1
4,4,0,0,0,0.45,0.45,20,"C.N",5,1
2,2,0,0,0,0.5,0.5,20,"C.N",5,1
31,12,9,5,5,0,0,25,"C.N",5,1
29,15,6,3,5,0.05,0.05,25,"C.N",5,1
29,15,6,3,5,0.1,0.1,25,"C.N",5,1
29,15,6,3,5,0.15,0.15,25,"C.N",5,1
29,15,6,3,5,0.2,0.2,25,"C.N",5,1
29,15,6,3,5,0.25,0.25,25,"C.N",5,1
29,15,6,3,5,0.3,0.3,25,"C.N",5,1
29,15,6,3,5,0.35,0.35,25,"C.N",5,1
32,14,8,4,6,0.4,0.4,25,"C.N",5,1
31,14,7,4,6,0.45,0.45,25,"C.N",5,1
31,14,7,4,6,0.5,0.5,25,"C.N",5,1
14,13,1,0,0,0,0,20,"C.N",20,1
14,13,1,0,0,0.05,0.05,20,"C.N",20,1
14,13,1,0,0,0.1,0.1,20,"C.N",20,1
12,12,0,0,0,0.15,0.15,20,"C.N",20,1
11,11,0,0,0,0.2,0.2,20,"C.N",20,1
11,11,0,0,0,0.25,0.25,20,"C.N",20,1
10,10,0,0,0,0.3,0.3,20,"C.N",20,1
10,10,0,0,0,0.35,0.35,20,"C.N",20,1
9,9,0,0,0,0.4,0.4,20,"C.N",20,1
9,9,0,0,0,0.45,0.45,20,"C.N",20,1
8,8,0,0,0,0.5,0.5,20,"C.N",20,1
20,18,1,1,0,0,0,25,"C.N",20,1
21,18,1,2,0,0.05,0.05,25,"C.N",20,1
21,18,1,2,0,0.1,0.1,25,"C.N",20,1
